"","myAUC","avg_diff","power","pct.1","pct.2","cluster","gene"
"BCCP1",0.914,1.01371910757376,0.828,0.987,0.637,"6","BCCP1"
"PYD1",0.884,0.863383405485485,0.768,0.998,0.953,"6","PYD1"
"IPP1",0.879,0.853269955974595,0.758,0.996,0.851,"6","IPP1"
"CYP74A",0.869,1.12166515901426,0.738,0.978,0.668,"6","CYP74A"
"AT1G42960",0.856,0.783703210687724,0.712,0.998,0.811,"6","AT1G42960"
"CAC2",0.851,0.788752945451016,0.702,0.993,0.792,"6","CAC2"
"BASS2",0.834,0.724308505180636,0.668,0.907,0.36,"6","BASS2"
"KAS III",0.82,0.751586089523383,0.64,0.889,0.373,"6","KAS III"
"CAC3",0.814,0.685509711196216,0.628,0.892,0.393,"6","CAC3"
"MOD1",0.804,0.820583220224553,0.608,0.898,0.453,"6","MOD1"
"AT1G154102",0.793,0.598685526531936,0.586,0.783,0.22,"6","AT1G15410"
"PPA6",0.791,0.599810810358297,0.582,0.996,0.829,"6","PPA6"
"BCCP2",0.771,0.683653029581483,0.542,0.907,0.575,"6","BCCP2"
"AT3G56130",0.767,0.562916059733152,0.534,0.912,0.512,"6","AT3G56130"
"PKP2",0.762,0.671967932816761,0.524,0.805,0.367,"6","PKP2"
"PDH-E1 BETA",0.76,0.604357551647202,0.52,0.894,0.567,"6","PDH-E1 BETA"
"RIDA1",0.754,0.430201180476668,0.508,1,0.961,"6","RIDA"
"EMB3003",0.743,0.551028519146534,0.486,0.768,0.351,"6","EMB3003"
"SIR1",0.742,0.465216309937186,0.484,0.976,0.782,"6","SIR"
"BCAT5",0.738,0.51549897110803,0.476,0.768,0.379,"6","BCAT5"
"SAL1",0.736,0.568582218292476,0.472,0.832,0.438,"6","SAL1"
"HISN1A",0.735,0.447494906369721,0.47,0.898,0.561,"6","HISN1A"
"FAP11",0.734,0.454783313610616,0.468,0.613,0.144,"6","FAP1"
"LOX4",0.733,0.532311804079338,0.466,0.686,0.245,"6","LOX4"
"PAT",0.733,0.504454072045722,0.466,0.805,0.399,"6","PAT"
"GSH21",0.726,0.462482794197542,0.452,0.909,0.585,"6","GSH2"
"LSF1",0.724,0.472256737992703,0.448,0.624,0.185,"6","LSF1"
"AT3G15690",0.72,0.449880036440361,0.44,0.805,0.433,"6","AT3G15690"
"AT2G31670",0.719,0.429113604110349,0.438,0.934,0.629,"6","AT2G31670"
"OASB1",0.715,0.434459847952823,0.43,0.801,0.446,"6","OASB"
"KAS1",0.714,0.498474510562701,0.428,0.761,0.353,"6","KAS1"
"PDH-E1 ALPHA",0.713,0.490918735718995,0.426,0.874,0.593,"6","PDH-E1 ALPHA"
"APS41",0.709,0.456881394419452,0.418,0.847,0.498,"6","APS4"
"PNSL51",0.705,0.401077739526864,0.41,0.85,0.466,"6","PNSL5"
"AT5G04440",0.704,0.418697770942237,0.408,0.659,0.286,"6","AT5G04440"
"SAT11",0.703,0.593625782943521,0.406,0.976,0.932,"6","SAT1"
"DHQS",0.703,0.398360496679445,0.406,0.852,0.487,"6","DHQS"
"AT5G47870",0.702,0.446910026899423,0.404,0.677,0.296,"6","AT5G47870"
"FER3",0.701,0.59570237340218,0.402,0.982,0.912,"6","FER3"
